Player_Id,Player_Name,DOB,Country_Name,Team_Id
1,SC Ganguly,08-07-1972,India,Kolkata Knight Riders
2,BB McCullum,27-09-1981,New Zealand,Kolkata Knight Riders
3,RT Ponting,19-12-1974,Australia,Kolkata Knight Riders
4,DJ Hussey,15-07-1977,Australia,Kolkata Knight Riders
5,Mohammad Hafeez,17-10-1980,Pakistan,Kolkata Knight Riders
6,R Dravid,11-01-1973,India,Royal Challengers Bangalore
7,W Jaffer,16-02-1978,India,Royal Challengers Bangalore
8,V Kohli,05-11-1988,India,Royal Challengers Bangalore
9,JH Kallis,16-10-1975,South Africa,Royal Challengers Bangalore
10,CL White,18-08-1983,Australia,Royal Challengers Bangalore
11,MV Boucher,03-12-1976,South Africa,Royal Challengers Bangalore
12,B Akhil,07-10-1977,India,Royal Challengers Bangalore
13,AA Noffke,30-04-1977,Australia,Royal Challengers Bangalore
14,P Kumar,02-10-1986,India,Royal Challengers Bangalore
15,Z Khan,07-10-1978,India,Royal Challengers Bangalore
16,SB Joshi,06-06-1970,India,Royal Challengers Bangalore
17,PA Patel,09-03-1985,India,Chennai Super Kings
18,ML Hayden,29-10-1971,Australia,Chennai Super Kings
19,MEK Hussey,27-05-1975,Australia,Chennai Super Kings
20,MS Dhoni,07-07-1981,India,Chennai Super Kings
21,SK Raina,27-11-1986,India,Chennai Super Kings
22,JDP Oram,28-07-1978,New Zealand,Chennai Super Kings
23,S Badrinath,30-08-1980,India,Chennai Super Kings
24,K Goel,24-12-1986,India,Kings XI Punjab
25,JR Hopes,24-10-1978,Australia,Kings XI Punjab
26,KC Sangakkara,27-10-1977,Sri Lanka,Kings XI Punjab
27,Yuvraj Singh,12-12-1981,India,Kings XI Punjab
28,SM Katich,21-08-1975,Australia,Kings XI Punjab
29,IK Pathan,27-10-1984,India,Kings XI Punjab
30,T Kohli,17-12-1988,India,Rajasthan Royals
31,YK Pathan,17-11-1982,India,Rajasthan Royals
32,SR Watson,17-06-1981,Australia,Rajasthan Royals
33,M Kaif,01-12-1980,India,Rajasthan Royals
34,DS Lehmann,05-02-1970,Australia,Rajasthan Royals
35,RA Jadeja,06-12-1988,India,Rajasthan Royals
36,M Rawat,25-10-1985,India,Rajasthan Royals
37,D Salunkhe,12-11-1982,India,Rajasthan Royals
38,SK Warne,13-09-1969,Australia,Rajasthan Royals
39,SK Trivedi,04-09-1982,India,Rajasthan Royals
40,G Gambhir,14-10-1981,India,Delhi Daredevils
41,V Sehwag,20-10-1978,India,Delhi Daredevils
42,S Dhawan,05-12-1985,India,Delhi Daredevils
43,L Ronchi,23-04-1981,Australia,Mumbai Indians
44,ST Jayasuriya,30-06-1969,Sri Lanka,Mumbai Indians
45,DJ Thornely,01-10-1978,Australia,Mumbai Indians
46,RV Uthappa,11-11-1985,India,Mumbai Indians
47,PR Shah,03-11-1987,India,Mumbai Indians
48,AM Nayar,08-10-1983,India,Mumbai Indians
49,SM Pollock,16-07-1973,South Africa,Mumbai Indians
50,Harbhajan Singh,03-07-1980,India,Mumbai Indians
51,S Chanderpaul,16-08-1974,West Indies,Royal Challengers Bangalore
52,LRPL Taylor,08-03-1984,New Zealand,Royal Challengers Bangalore
53,AC Gilchrist,14-11-1971,Australia,Deccan Chargers
54,Y Venugopal Rao,26-02-1982,India,Deccan Chargers
